x,y,landsat71_2
10335.434774641166,-353435.872415971,62.215
10935.434774641166,-353435.872415971,65.765
11535.434774641166,-353435.872415971,64.19
12135.434774641166,-353435.872415971,63.8075
12735.434774641166,-353435.872415971,59.8175
13335.434774641166,-353435.872415971,54.8675
13935.434774641166,-353435.872415971,55.3
14535.434774641166,-353435.872415971,57.5625
15135.434774641166,-353435.872415971,67.1225
15735.434774641166,-353435.872415971,67.03
16335.434774641166,-353435.872415971,68.155
16935.434774641166,-353435.872415971,71.535
17535.434774641166,-353435.872415971,65.6975
18135.434774641166,-353435.872415971,54.3825
18735.434774641166,-353435.872415971,57.99
19335.434774641166,-353435.872415971,58.3525
19935.434774641166,-353435.872415971,62.245
20535.434774641166,-353435.872415971,58.1225
21135.434774641166,-353435.872415971,63.82
21735.434774641166,-353435.872415971,63.955
22335.434774641166,-353435.872415971,64.45
22935.434774641166,-353435.872415971,71.415
23535.434774641166,-353435.872415971,81.7925
24135.434774641166,-353435.872415971,63.0875
24735.434774641166,-353435.872415971,52.7
25335.434774641166,-353435.872415971,53.5525
25935.434774641166,-353435.872415971,58.64
26535.434774641166,-353435.872415971,55.0325
27135.434774641166,-353435.872415971,58.525
27735.434774641166,-353435.872415971,56.8525
28335.434774641166,-353435.872415971,56.0075
28935.434774641166,-353435.872415971,62.7775
29535.434774641166,-353435.872415971,60.715
30135.434774641166,-353435.872415971,61.6875
30735.434774641166,-353435.872415971,62.91
31335.434774641166,-353435.872415971,61.3575
31935.434774641166,-353435.872415971,63.57
32535.434774641166,-353435.872415971,63.675
33135.434774641166,-353435.872415971,66.49
33735.434774641166,-353435.872415971,65.51
34335.434774641166,-353435.872415971,68.0325
34935.434774641166,-353435.872415971,62.2025
35535.434774641166,-353435.872415971,57.645
36135.434774641166,-353435.872415971,63.92
36735.434774641166,-353435.872415971,65.1025
37335.434774641166,-353435.872415971,65.4425
37935.434774641166,-353435.872415971,68.3425
38535.434774641166,-353435.872415971,65.0175
39135.434774641166,-353435.872415971,72.2675
39735.434774641166,-353435.872415971,70.7625
40335.434774641166,-353435.872415971,72.5225
40935.434774641166,-353435.872415971,79.1925
41535.434774641166,-353435.872415971,71.3
42135.434774641166,-353435.872415971,69.945
42735.434774641166,-353435.872415971,71.91
43335.434774641166,-353435.872415971,72.58
43935.434774641166,-353435.872415971,72.005
44535.434774641166,-353435.872415971,73.86
45135.434774641166,-353435.872415971,77.17
45735.434774641166,-353435.872415971,74.1825
46335.434774641166,-353435.872415971,72.8825
46935.434774641166,-353435.872415971,149.16
47535.434774641166,-353435.872415971,113.2375
48135.434774641166,-353435.872415971,88.4225
48735.434774641166,-353435.872415971,91.74
49335.434774641166,-353435.872415971,93.1025
49935.434774641166,-353435.872415971,79.49
50535.434774641166,-353435.872415971,82.025
51135.434774641166,-353435.872415971,93.4825
-59264.565225358834,-354035.872415971,50.835
-58664.565225358834,-354035.872415971,52.1
-58064.565225358834,-354035.872415971,50.3375
-57464.565225358834,-354035.872415971,52.3425
-56864.565225358834,-354035.872415971,56.78
-56264.565225358834,-354035.872415971,121.7775
-55664.565225358834,-354035.872415971,130.7725
-55064.565225358834,-354035.872415971,78.8075
-54464.565225358834,-354035.872415971,79.22
-53864.565225358834,-354035.872415971,74.78
-53264.565225358834,-354035.872415971,73.195
-52664.565225358834,-354035.872415971,64.9075
-52064.565225358834,-354035.872415971,63.2
-51464.565225358834,-354035.872415971,66.655
-50864.565225358834,-354035.872415971,70.1575
-50264.565225358834,-354035.872415971,68.0375
-49664.565225358834,-354035.872415971,63.935
-49064.565225358834,-354035.872415971,60.82
-48464.565225358834,-354035.872415971,60.32
-47864.565225358834,-354035.872415971,63.0525
-47264.565225358834,-354035.872415971,62.7825
-46664.565225358834,-354035.872415971,61.06
-46064.565225358834,-354035.872415971,63.34
-45464.565225358834,-354035.872415971,68.85
-44864.565225358834,-354035.872415971,67.3875
-44264.565225358834,-354035.872415971,65.255
-43664.565225358834,-354035.872415971,64.75
-43064.565225358834,-354035.872415971,70.8375
-42464.565225358834,-354035.872415971,66.4575
-41864.565225358834,-354035.872415971,65.3875
-41264.565225358834,-354035.872415971,69.735
-40664.565225358834,-354035.872415971,64.4025
-40064.565225358834,-354035.872415971,65.295
-39464.565225358834,-354035.872415971,67.575
-38864.565225358834,-354035.872415971,65.9125
-38264.565225358834,-354035.872415971,69.5825
-37664.565225358834,-354035.872415971,66.3975
-37064.565225358834,-354035.872415971,61.24
-36464.565225358834,-354035.872415971,59.46
-35864.565225358834,-354035.872415971,62.1775
-35264.565225358834,-354035.872415971,61.9375
-34664.565225358834,-354035.872415971,62.57
-34064.565225358834,-354035.872415971,62.69
-33464.565225358834,-354035.872415971,66.79
-32864.565225358834,-354035.872415971,65.4325
-32264.565225358834,-354035.872415971,63.445
-31664.565225358834,-354035.872415971,62.21
-31064.565225358834,-354035.872415971,65.39
-30464.565225358834,-354035.872415971,65.0725
-29864.565225358834,-354035.872415971,71.33
-29264.565225358834,-354035.872415971,67.1575
-28664.565225358834,-354035.872415971,65.6325
-28064.565225358834,-354035.872415971,71.5975
-27464.565225358834,-354035.872415971,76.5325
-26864.565225358834,-354035.872415971,68.1825
-26264.565225358834,-354035.872415971,73.2025
-25664.565225358834,-354035.872415971,72.2125
-25064.565225358834,-354035.872415971,63.3
-24464.565225358834,-354035.872415971,63.33
